household_id,PUMA,mgra,NP,HHADJINC,HHT,WIF,HUPAC,VEH,GQ_type,BLD
1,7310,895,1,19386.0,,,,,1,
2,7310,895,1,19816.8,,,,,1,
3,7310,895,1,23694.0,,,,,1,
4,7310,895,1,23370.9,,,,,1,
5,7310,895,1,21216.9,,,,,1,
6,7310,895,1,29079.0,,,,,1,
7,7310,895,1,129993.9,,,,,1,
8,7310,895,1,19816.8,,,,,1,
9,7310,895,1,5169.599999999999,,,,,1,
10,7310,895,1,23586.3,,,,,1,
11,7310,895,1,15939.6,,,,,1,
12,7310,895,1,21540.0,,,,,1,
13,7310,895,1,22617.0,,,,,1,
14,7310,895,1,75390.0,,,,,1,
15,7310,895,1,32310.0,,,,,1,
16,7310,895,1,22617.0,,,,,1,
17,7310,895,1,5169.599999999999,,,,,1,
18,7310,895,1,20463.0,,,,,1,
19,7310,895,1,32320.77,,,,,1,
20,7310,895,1,25848.0,,,,,1,
21,7310,895,1,21970.8,,,,,1,
22,7310,895,1,25848.0,,,,,1,
23,7310,895,1,6462.0,,,,,1,
24,7310,895,1,1184.7,,,,,1,
25,7310,895,1,22617.0,,,,,1,
26,7310,895,1,19386.0,,,,,1,
27,7310,895,1,38772.0,,,,,1,
28,7310,895,1,17232.0,,,,,1,
29,7310,895,1,12924.0,,,,,1,
30,7310,895,1,18201.3,,,,,1,
31,7310,895,1,21540.0,,,,,1,
32,7310,895,1,22617.0,,,,,1,
33,7310,895,1,21540.0,,,,,1,
34,7310,895,1,19386.0,,,,,1,
35,7310,895,1,23694.0,,,,,1,
36,7310,895,1,23694.0,,,,,1,
37,7310,895,1,80775.0,,,,,1,
38,7310,895,1,25848.0,,,,,1,
39,7310,895,1,12924.0,,,,,1,
40,7310,895,1,15939.6,,,,,1,
41,7310,895,1,19386.0,,,,,1,
42,7310,895,1,80775.0,,,,,1,
43,7310,895,1,26925.0,,,,,1,
44,7310,895,1,17232.0,,,,,1,
45,7310,895,1,24771.0,,,,,1,
46,7310,895,1,12924.0,,,,,1,
47,7310,895,1,21540.0,,,,,1,
48,7310,895,1,14001.0,,,,,1,
49,7310,895,1,17232.0,,,,,1,
50,7310,895,1,21540.0,,,,,1,
51,7310,895,1,21540.0,,,,,1,
52,7310,895,1,21540.0,,,,,1,
53,7310,895,1,14001.0,,,,,1,
54,7310,895,1,23694.0,,,,,1,
55,7310,895,1,19816.8,,,,,1,
56,7310,895,1,19386.0,,,,,1,
57,7310,895,1,21970.8,,,,,1,
58,7310,895,1,75390.0,,,,,1,
59,7310,895,1,20463.0,,,,,1,
60,7310,895,1,29079.0,,,,,1,
61,7310,895,1,17232.0,,,,,1,
62,7310,895,1,29079.0,,,,,1,
63,7310,895,1,21540.0,,,,,1,
64,7310,895,1,16155.0,,,,,1,
65,7310,895,1,30586.8,,,,,1,
66,7310,895,1,29079.0,,,,,1,
67,7310,895,1,25848.0,,,,,1,
68,7310,895,1,19924.5,,,,,1,
69,7310,895,1,23586.3,,,,,1,
70,7310,895,1,21540.0,,,,,1,
71,7310,895,1,7539.0,,,,,1,
72,7310,895,1,5385.0,,,,,1,
73,7310,895,1,21540.0,,,,,1,
74,7310,895,1,7539.0,,,,,1,
75,7310,895,1,21540.0,,,,,1,
76,7310,895,1,20463.0,,,,,1,
77,7310,895,1,19924.5,,,,,1,
78,7310,895,1,4523.4,,,,,1,
79,7310,895,1,19386.0,,,,,1,
80,7310,895,1,25848.0,,,,,1,
81,7310,895,1,22186.2,,,,,1,
82,7310,895,1,2477.1,,,,,1,
83,7310,895,1,42433.8,,,,,1,
84,7310,895,1,21540.0,,,,,1,
85,7310,895,1,18309.0,,,,,1,
86,7310,895,1,646.1999999999999,,,,,1,
87,7310,895,1,19816.8,,,,,1,
88,7310,895,1,19816.8,,,,,1,
89,7310,895,1,19386.0,,,,,1,
